date,AAP,ACN,ADBE,AFL,ALB,ALK,AOS,ATVI,AYI,MMM
2009-05-06,40.8681,23.9092,26.35,12.677,23.1563,4.1226,4.4235,9.8323,28.0395,43.7815
2009-05-07,40.4621,23.8378,25.63,12.5255,22.2354,3.9022,4.478,9.8591,27.424,43.5075
2009-05-08,40.317,23.3144,25.42,14.2597,23.2735,3.936,4.5798,10.5851,28.86,44.4847
2009-05-11,39.9013,23.3699,26.15,12.7489,22.428,3.873,4.4465,10.3073,27.6478,43.7592
2009-05-12,39.0892,23.251,25.99,12.9723,22.4029,3.7358,4.349,10.2177,26.9671,44.0702
2009-05-13,38.4414,22.8545,25.17,11.9841,21.2224,3.5806,4.0967,10.137,25.6057,42.1528
2009-05-14,38.6057,22.9734,25.93,12.7792,21.9257,3.5761,4.0709,10.3162,25.2047,42.8931
2009-05-15,39.3115,22.8624,25.92,12.1696,22.3191,3.5941,4.0537,10.3969,24.9903,42.8783
2009-05-18,40.5781,23.8616,26.48,13.5554,22.8717,3.7043,4.177,10.4776,26.3517,43.8481
2009-05-19,41.9413,23.7902,26.56,13.0059,22.654,3.5244,4.2057,10.2445,25.9507,43.6778
